Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Argentina,2,2,2,33,3,1,3,1,3,2,1,2,8,280,4,1,2,2,3,2,2,2,3,1,2,2,1,1
Argentina,2,1,3,33,4,0,3,1,1,1,2,2,2,100,1,1,4,2,3,1,2,4,4,2,3,1,1,1
Bolivia,1,4,3,33,3,2,3,2,4,2,1,2,2,80,3,1,3,3,3,2,3,2,3,1,2,2,2,1
Argentina,1,1,2,33,1,0,6,1,2,1,2,2,3,100,2,1,3,3,4,3,4,3,4,2,2,2,1,1
Bolivia,2,2,2,33,4,2,3,2,4,2,1,2,5,200,1,1,5,2,3,3,2,3,3,3,1,1,1,1
USA,2,1,4,2,2,0,3,1,1,2,6,1,1,300,1,2,1,4,4,4,4,4,4,4,3,4,3,5
España,1,1,4,33,2,0,3,1,1,2,2,2,3,175,1,3,2,3,3,2,2,2,2,2,2,2,3,5
España,1,1,3,33,5,0,3,1,1,1,2,1,3,250,1,1,1,3,3,3,3,4,3,4,3,3,3,5
Argentina,2,1,3,14,1,0,3,1,1,3,1,2,3,150,1,1,3,2,3,3,2,3,3,2,3,1,3,5
Brasil,1,1,3,33,1,0,3,1,1,2,1,2,2,300,1,1,2,3,3,3,3,2,2,3,3,3,3,3
España,1,1,2,2,3,0,3,1,1,1,2,1,2,100,1,1,2,4,4,3,3,4,3,2,3,3,3,3
España,2,1,2,33,2,0,3,1,1,1,1,2,2,300,1,2,3,3,1,3,3,3,3,2,3,1,3,5
Brasil,1,2,5,3,1,0,3,2,1,1,1,1,2,400,1,1,1,2,3,4,3,3,4,3,4,4,3,3
Colombia,2,2,5,2,2,0,3,2,1,1,2,2,1,350,1,1,2,3,3,3,3,4,3,3,3,3,4,3
Colombia,2,1,5,3,2,0,3,2,1,1,2,1,1,350,1,2,1,2,2,3,3,3,4,2,3,3,3,5
Bolivia,2,2,5,2,2,0,3,2,1,1,1,1,1,400,1,2,1,2,3,3,3,2,3,3,3,3,5,5
Chile,1,2,5,4,4,0,3,2,1,1,2,1,2,300,1,1,2,4,4,3,3,3,4,3,4,3,2,2
Chile,1,2,5,4,4,0,3,2,1,1,2,1,1,300,1,1,3,3,4,3,4,3,3,3,3,3,4,3
USA,1,1,5,3,4,0,3,2,1,1,1,2,1,350,1,2,3,2,3,3,3,3,3,3,2,2,3,3
USA,2,2,5,3,2,0,3,2,1,1,1,1,2,400,1,1,3,2,4,3,5,2,3,4,4,3,4,4
